update,mean_reward,mean_loss,env_steps_per_sec
1,-1.6308329105377197,40.19435119628906,776.2018758007996
21,-1.5184383392333984,31.3677921295166,718.4688224543438
41,-1.452225685119629,26.529882431030273,653.8061831496245
61,-1.3748847246170044,22.543291091918945,641.2212656060759
81,-1.2634743452072144,19.14122200012207,643.0239013161447
101,-1.1603788137435913,15.683636665344238,639.8431187292736
121,-1.0438543558120728,12.27397632598877,626.9674729220844
141,-0.9632302522659302,10.09394359588623,633.2378107182601
161,-0.8520561456680298,7.505722999572754,606.0349993123709
181,-0.7830039858818054,5.83101224899292,614.712260287333
201,-0.7149007320404053,4.130935192108154,615.1481870556493
221,-0.6569748520851135,3.084240436553955,637.3334911947156
241,-0.5971366763114929,2.2929627895355225,638.305415341745
261,-0.5696976780891418,1.815330147743225,638.2747931551642
281,-0.5444029569625854,1.5160247087478638,626.8700258787285
301,-0.5137386322021484,1.2520033121109009,583.9643450833471
321,-0.5032853484153748,1.0862375497817993,625.8049000309394
341,-0.5165219306945801,1.0656344890594482,611.9428822039291
361,-0.49736157059669495,0.9488856196403503,611.0546581489202
381,-0.49309149384498596,0.922161877155304,601.7442858032616
401,-0.4692378044128418,0.8610420227050781,617.5067867530413
421,-0.4678744971752167,0.901739776134491,611.3281286495009
441,-0.4456031322479248,0.8490270972251892,613.4505757184326
461,-0.4244544208049774,0.9055647850036621,612.4662047394098
481,-0.4270358681678772,0.9312323927879333,612.4667560854558
501,-0.433666855096817,0.8717405200004578,612.2687250550492
521,-0.42320796847343445,0.9733707308769226,611.8578395092107
541,-0.4149315059185028,0.9962189793586731,611.9322469735037
561,-0.41156741976737976,0.989772617816925,612.0257611912984
581,-0.4136907160282135,0.9585882425308228,611.9781108365005
601,-0.3897296190261841,1.0289111137390137,600.1544190357264
621,-0.4234096109867096,1.04340398311615,608.8378118043721
641,-0.4177970588207245,0.8360857963562012,566.4950908884151
